| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    0038-213 |   9.6248113375 |   -21.3344506306 |  B |          |          |          |          |         nan |        S |        S |        X |        X |        0.78 |       S |       S |       S |       S |       0.34 |         X |         S |         S |         S |         0.22 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0039+141 |  9.91508208333 |    14.1993216667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    0039+490 |     9.94583125 |    49.0092166667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0040+014 |      10.056355 |    1.42952861111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0040+331 |      10.229415 |    33.1689630556 |  T |        X |        S |        S |        X |        10.0 |        X |        X |        X |        P |         3.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0040-017 |  10.2400482583 |   -1.77556267222 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.75 |       P |       P |       S |       S |        0.6 |         P |         P |         P |         P |         0.57 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.58 |
|    0042+233 |  10.5189382625 |    23.3336281361 |  A |          |          |          |          |         nan |        P |        P |        X |        X |        0.78 |       P |       P |       P |       P |       0.85 |         P |         P |         P |         P |         1.18 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0042-442 |  10.5392591667 |   -44.2376613889 |  T |        X |        X |        S |        S |        13.0 |        X |        X |        X |        S |         3.5 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0042+571 |    10.58104905 |     57.143496025 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         S |         S |         S |         S |          0.8 |
|    0044-355 |  11.1717891667 |   -35.5115633333 |  T |        X |        S |        S |        X |         7.0 |        X |        X |        S |        P |        2.45 |       X |       X |       X |       S |        1.2 |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
