| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    1256-057 |  194.046527333 |   -5.78931238333 |  B |          |          |          |          |         nan |        X |        X |        X |        X |         0.0 |       S |       X |       X |       X |       11.2 |         S |         S |         X |         X |         15.6 |       S |       S |       S |       S |       21.8 |           |           |           |           |          nan |         S |         S |         S |         S |         24.7 |
|    1256+568 |  194.059308146 |    56.8736770583 |  A |          |          |          |          |         nan |        W |        W |        X |        X |        0.23 |       S |       S |       S |       S |       0.27 |         S |         S |         S |         S |         0.26 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    1256+473 |  194.238460417 |    47.3388377778 |  T |        X |        X |        X |        S |        15.0 |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1257+324 |  194.488465417 |    32.4914772222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         S |         S |         S |         S |         0.85 |
|    1257-319 |  194.496086683 |   -31.9213477361 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         1.1 |       P |       P |       P |       P |        1.0 |         P |         P |         P |         P |          1.3 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         S |         S |         S |         S |          1.3 |
|    1258-223 |  194.726994917 |    -22.325312625 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         1.0 |       P |       P |       S |       S |        0.8 |         P |         P |         P |         P |          0.8 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         S |         S |         S |         S |         0.74 |
|    1259+516 |   194.87989625 |    51.6822911111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         S |         S |         S |         S |          0.7 |
|    1300+285 |  195.118874167 |    28.5028336111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    1300+084 |  195.151828333 |    8.46746055556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    1300+142 |  195.170991667 |    14.2915052778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    1300+506 |  195.171862662 |    50.4935459056 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.34 |       S |       S |       S |       X |       0.36 |         S |         S |         S |         X |         0.34 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.19 |
|    1302+483 |  195.571655833 |    48.3215477778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    1302+690 |  195.658019167 |    69.0476702778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.27 |
|    1302+578 |  195.718605342 |    57.8104470611 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.31 |       S |       S |       S |       S |       0.52 |         S |         S |         S |         S |         0.89 |       W |       W |       W |       W |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1305+789 |  196.250071667 |    78.9099341667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1305-105 |  196.387562608 |    -10.555396725 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.6 |       P |       P |       S |       S |        0.8 |         P |         P |         P |         P |          0.6 |       P |       P |       P |       P |        1.2 |           |           |           |           |          nan |         W |         W |         W |         W |          0.6 |
|    1306+554 |  196.513957083 |    55.4955172222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    1308+499 |  197.033024583 |    49.9648494444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    1308+657 |  197.093402083 |    65.7366058333 |  T |        S |        S |        X |        X |         5.0 |        X |        X |        S |        S |         1.8 |       X |       X |       X |       S |        1.5 |         X |         X |         X |         S |          1.3 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1308+357 |  197.098744583 |    35.7770127778 |  B |          |          |          |          |         nan |        ? |        ? |        X |        X |        0.23 |         |         |         |         |        nan |         P |         P |         P |         P |         0.52 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    1308-098 |  197.163204167 |   -9.84241111111 |  T |        S |        S |        X |        X |         8.0 |        ? |        S |        S |        X |         4.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1309+559 |  197.290643679 |     55.960609925 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.29 |       S |       S |       S |       S |       0.31 |         S |         S |         S |         S |          0.3 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    1309+119 |  197.391385129 |    11.9068201167 |  A |          |          |          |          |         nan |        S |        S |        S |        X |        0.87 |       P |       P |       P |       P |        0.8 |         P |         P |         P |         P |         0.73 |       S |       S |       S |       S |        0.6 |         S |         S |         S |         S |         0.56 |         W |         W |         W |         W |          0.6 |
|    1310+007 |   197.61876125 |   0.735797222222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    1310+323 |  197.619432687 |    32.3454952639 |  A |          |          |          |          |         nan |        P |        P |        S |        X |         2.1 |       P |       P |       P |       P |        3.5 |         P |         P |         P |         P |         4.13 |       P |       P |       P |       P |        2.3 |         P |         P |         P |         P |         3.34 |         S |         S |         S |         S |         0.94 |
|    1310+468 |  197.723298154 |    46.8978383167 |  B |          |          |          |          |         nan |        X |        X |        X |        X |        0.11 |       W |       W |       W |       W |       0.19 |         S |         S |         S |         S |         0.36 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1310+325 |  197.747511354 |    32.5595693222 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1311+552 |  197.763378933 |       55.2317558 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.34 |       S |       S |       S |       X |       0.52 |         S |         S |         S |         X |         0.51 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.26 |
|    1311-222 |  197.913894583 |   -22.2782633333 |  C |        S |        S |        S |        S |        25.0 |        X |        X |        S |        P |         5.3 |       X |       X |       X |       S |        1.2 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1312+484 |  198.180629167 |    48.4752588889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.31 |
|    1313+675 |  198.366603333 |    67.5973266667 |  C |          |          |          |          |         nan |        P |        P |        P |        P |         2.4 |       S |       P |       P |       P |        0.9 |         X |         S |         P |         P |          0.6 |       X |       X |       S |       S |        0.3 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1313+549 |  198.407720662 |    54.9733040833 |  C |          |          |          |          |         nan |        P |        P |        S |        X |        1.31 |       S |       S |       S |       S |       0.53 |         S |         S |         S |         S |          0.3 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1314+531 |  198.682627558 |     53.107702825 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.26 |       S |       S |       S |       S |       0.46 |         S |         S |         S |         S |          0.3 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1315+123 |   198.75772125 |    12.3479541667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    1316-336 |  199.033274746 |   -33.6497701389 |  A |          |          |          |          |         nan |        P |        P |        P |        S |         1.6 |       P |       P |       P |       P |        1.4 |         P |         P |         P |         P |         1.12 |       P |       P |       P |       P |        1.2 |           |           |           |           |          nan |         S |         S |         S |         S |          2.7 |
|    1317+344 |  199.402059121 |    34.4210924056 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.5 |       X |       X |       X |       X |       0.34 |         X |         X |         X |         X |         0.35 |       W |       W |       W |       W |        0.3 |         W |         W |         W |         W |         0.33 |         W |         W |         W |         W |          0.3 |
|    1319+518 |  199.942483333 |    51.8016005556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.27 |
|    1321+222 |    200.2966725 |    22.2700255556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.32 |
|    1321+111 |   200.32838375 |    11.1137511111 |  T |        X |        S |        S |        X |         7.0 |        X |        X |        X |        S |         2.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1321+832 |  200.440039737 |    83.2703952528 |  C |          |          |          |          |         nan |        S |        S |        X |        X |         0.5 |       S |       S |       S |       S |       0.34 |         S |         S |         S |         S |          0.3 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    1322+218 |   200.54751125 |         21.80341 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    1323-448 |  200.767692425 |   -44.8760703889 |  B |          |          |          |          |         nan |        P |        P |        P |        P |         3.0 |       S |       P |       P |       P |        1.1 |         X |         S |         P |         P |          0.6 |       X |       S |       S |       S |        0.3 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1323+797 |  200.964874108 |    79.7144019611 |  B |          |          |          |          |         nan |        S |        S |        S |        S |        0.61 |       S |       S |       S |       S |       0.56 |         P |         P |         P |         P |         0.56 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |         0.26 |
|    1324+408 |  201.050398337 |    40.8032676417 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.38 |       S |       S |       S |       S |       0.42 |         S |         S |         S |         S |         0.25 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1324+477 |  201.122255417 |    47.7223955556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    1326+319 |  201.568800883 |    31.9026431611 |  A |        S |        S |        X |        X |         7.0 |        P |        S |        S |        X |         4.8 |       S |       P |       P |       P |        2.4 |         X |         S |         P |         P |          1.6 |       X |       S |       S |       S |        1.0 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    1326+572 |    201.7107125 |    57.2018705556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1327+221 |  201.753588796 |      22.18060085 |  A |          |          |          |          |         nan |        P |        P |        S |        X |        1.02 |       P |       P |       P |       P |        1.5 |         P |         P |         P |         P |         1.77 |       P |       P |       P |       P |        1.6 |         P |         P |         P |         P |         1.47 |         S |         S |         S |         S |          0.9 |
|    1327+434 |  201.837412492 |      43.44110815 |  A |          |          |          |          |         nan |        S |        S |        ? |        X |        0.64 |       S |       S |       S |       S |       0.51 |         S |         S |         S |         S |         0.46 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1329+501 |  202.274168333 |    50.1573352778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    1329+319 |  202.470270542 |    31.9030708361 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       P |       P |       P |       P |        1.4 |           |           |           |           |          nan |         S |         S |         S |         S |          0.9 |
|    1330+251 |  202.657038333 |    25.1530494444 |  C |        S |        S |        S |        S |        15.0 |        P |        P |        P |        P |         6.8 |       X |       S |       P |       P |        3.3 |         X |         S |         P |         P |          2.2 |       X |       X |       S |       P |        1.6 |           |           |           |           |          nan |         ? |         ? |         W |         W |          0.6 |
|    1331+305 |  202.784533267 |    30.5091552361 |  A |        S |        S |        S |        S |        26.0 |        S |        S |        P |        P |        15.0 |       S |       S |       S |       P |       7.47 |         S |         P |         P |         P |         5.23 |       S |       S |       S |       S |        3.4 |         X |         S |         S |         P |         2.59 |         X |         S |         P |         P |         1.45 |
|    1332+473 |  203.188518333 |    47.3729622222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.34 |
|    1335+457 |  203.841509325 |    45.7106198167 |  A |          |          |          |          |         nan |        ? |        ? |        X |        X |        0.25 |         |         |         |         |        nan |         P |         P |         P |         P |         0.57 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1335+587 |  203.858035267 |    58.7334142222 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.29 |         |         |         |         |        nan |         P |         P |         P |         P |         0.67 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    1337-129 |  204.415761583 |   -12.9568592306 |  A |          |          |          |          |         nan |        P |        X |        X |        P |         1.9 |       P |       P |       P |       P |        4.3 |         P |         P |         P |         P |          4.3 |       S |       S |       S |       S |        3.0 |           |           |           |           |          nan |         S |         S |         S |         S |          7.0 |
|    1337+550 |  204.456842642 |    55.0172549444 |  A |          |          |          |          |         nan |        X |        X |        ? |        ? |         0.7 |       X |       X |       X |       S |       0.45 |         X |         X |         X |         S |         0.53 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    1338-064 |     204.533625 |   -6.45311111111 |  T |        X |        X |        S |        S |        12.0 |        X |        X |        X |        S |         3.1 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1338+388 |  204.707415417 |    38.8532916667 |  T |        X |        X |        S |        S |        12.0 |        X |        X |        X |        S |         3.3 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1339-263 |  204.832878117 |   -26.3418044167 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.5 |       S |       S |       S |       S |        0.6 |         P |         P |         P |         P |         0.71 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    1339+634 |  204.849096067 |    63.4828958944 |  B |          |          |          |          |         nan |        S |        S |        ? |        X |         0.5 |       S |       S |       S |       S |       0.37 |         S |         S |         S |         S |         0.27 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1340+379 |  205.095632504 |    37.9121760111 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.28 |       W |       W |       W |       W |        0.2 |         S |         S |         S |         S |         0.16 |       X |       X |       X |       X |        0.1 |         X |         X |         X |         X |         0.05 |         X |         X |         X |         X |          0.0 |
|    1341+282 |   205.31368625 |    28.2680863889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    1342+271 |     205.534905 |    27.1585069444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.33 |
|    1342+603 |  205.554270417 |    60.3618013889 |  T |          |          |          |          |         nan |        X |        X |        X |        S |         1.4 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1343+287 |  205.750747917 |    28.7354158333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    1344+661 |  206.036165308 |    66.1032343917 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1344+141 |  206.098925417 |    14.1541266667 |  C |          |          |          |          |         nan |        S |        S |        S |        S |         1.2 |       X |       S |       S |       S |       0.35 |         X |         X |         S |         S |         0.18 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1345+497 |    206.3598925 |    49.7758122222 |  T |          |          |          |          |         nan |        X |        X |        X |        S |         2.4 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1347-080 |  206.756345833 |   -8.05662222222 |  T |          |          |          |          |         nan |        X |        X |        X |        S |         1.8 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1347+122 |  206.889006854 |    12.2900663611 |  A |        S |        S |        S |        X |         8.0 |        P |        P |        P |        P |         5.2 |       S |       P |       P |       P |        2.9 |         X |         S |         P |         P |          2.3 |       X |       X |       S |       P |        1.6 |           |           |           |           |          nan |         ? |         ? |         W |         W |         0.51 |
|    1349+536 |  207.394402596 |    53.6880667444 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         1.1 |       P |       P |       P |       P |        0.9 |         X |         S |         P |         P |         0.67 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    1349-393 |  207.463197917 |        -39.38063 |  T |        S |        S |        S |        X |         7.0 |        X |        X |        S |        X |         1.7 |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1350+305 |  207.719734192 |    30.5815529194 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       W |       W |       W |       W |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    1351-148 |  207.969373379 |   -14.8207099278 |  A |          |          |          |          |         nan |        P |        P |        P |        S |         1.2 |       P |       P |       P |       P |        0.8 |         P |         P |         P |         P |          1.0 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    1352+314 |   208.07433625 |          31.4463 |  T |        S |        S |        X |        X |         9.0 |        X |        S |        S |        X |         3.5 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1352-442 |   208.23556215 |   -44.2112187444 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.4 |       S |       S |       S |       S |        0.5 |         P |         P |         P |         P |         0.65 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.31 |
|    1353+145 |  208.345165417 |    14.5942388889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    1353+755 |  208.346490417 |    75.5493611111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.19 |
|    1354-021 |  208.528730496 |   -2.10088625278 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         0.8 |       P |       P |       P |       P |        0.9 |         P |         P |         P |         P |         0.78 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1356-343 |  209.022431667 |   -34.3530066667 |  C |          |          |          |          |         nan |        S |        X |        X |        X |        0.68 |       S |       S |       S |       X |       0.78 |         P |         P |         P |         P |         0.69 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    1357+193 |  209.268486067 |    19.3187145389 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         1.6 |       S |       S |       S |       X |        1.3 |         S |         S |         S |         X |         1.55 |       S |       S |       S |       S |        1.3 |           |           |           |           |          nan |         S |         S |         S |         S |          2.1 |
|    1357-177 |  209.275309167 |   -17.7338622583 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         1.4 |       P |       P |       P |       P |        1.0 |         P |         P |         P |         P |         0.69 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.6 |
|    1357-154 |  209.296854058 |   -15.4579962583 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         1.3 |       P |       P |       P |       P |        2.4 |         P |         P |         P |         P |         0.81 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.7 |
|    1357+438 |  209.419484167 |    43.8999086111 |  B |          |          |          |          |         nan |        ? |        ? |        S |        S |        0.67 |         |         |         |         |        nan |         X |         X |         S |         S |         0.36 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1357+767 |  209.480714662 |    76.7225141972 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.3 |       S |       S |       S |       S |        0.6 |         P |         P |         P |         P |         0.98 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |         0.66 |
|    1358+476 |  209.669435833 |    47.6328627778 |  B |          |          |          |          |         nan |        ? |        ? |        S |        S |         0.6 |         |         |         |         |        nan |         X |         X |         S |         S |         0.27 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1359+019 |  209.863115833 |    1.99848416667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.49 |
|    1359+401 |   209.90872625 |    40.1939611111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.29 |
|    1400+621 |  210.119385833 |    62.1773683333 |  C |          |          |          |          |         nan |        P |        P |        P |        P |         4.4 |       P |       P |       P |       P |       1.72 |         S |         P |         P |         P |         1.08 |       X |       S |       S |       S |       0.67 |         X |         X |         S |         S |         0.48 |         X |         X |         W |         W |         0.28 |
|    1404+658 |  211.021983333 |    65.8604211111 |  C |          |          |          |          |         nan |        S |        P |        P |        X |         2.0 |       X |       X |       S |       S |        0.6 |           |           |           |           |          nan |       X |       X |       X |       S |        0.4 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1404-015 |  211.191231071 |   -1.50609630278 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         0.7 |       S |       S |       S |       S |        0.6 |         S |         S |         S |         S |         0.22 |       X |       X |       X |       X |        0.2 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1405+042 |  211.254665883 |    4.25994970833 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.7 |       S |       X |       X |       X |        0.7 |         S |         X |         X |         X |         0.77 |       S |       S |       X |       X |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    1405+409 |   211.28247875 |    40.9494019444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1406+784 |  211.652372917 |    78.4695611111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1407+284 |  211.751643375 |      28.45408055 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         0.8 |       P |       P |       P |       P |        2.8 |         P |         P |         P |         P |         1.95 |       P |       P |       P |       P |        1.3 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
